,지번주소,adr_dong,번지,전용면적(㎡),총세대수,총동수,room,bath,traffic_label,학교시설,편의시설
0,경기도 고양시 대화동 2579 ,대화동,2579,84.63,668 ,8,3,2,2.0,4,8
1,경기도 고양시 대화동 2580 ,대화동,2580,84.86,811 ,10,3,2,1.0,4,7
2,경기도 고양시 대화동 2573 ,대화동,2573,84.43,706 ,8,3,2,1.0,4,6
3,경기도 고양시 대화동 2570 ,대화동,2570,84.26,1255 ,14,3,2,1.0,4,8
4,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
5,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
6,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
7,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
8,경기도 고양시 고양동 719 ,고양동,719,59.5,958 ,11,3,2,1.0,5,2
9,경기도 고양시 고양동 719 ,고양동,719,82.65,958 ,11,3,2,1.0,5,2
10,경기도 고양시 고양동 719 ,고양동,719,82.65,958 ,11,3,2,1.0,5,2
11,경기도 고양시 고양동 719 ,고양동,719,82.65,958 ,11,3,2,1.0,5,2
12,경기도 고양시 고양동 719 ,고양동,719,82.65,958 ,11,3,2,1.0,5,2
13,경기도 고양시 고양동 734 ,고양동,734,92.96,241 ,6,3,2,0.0,2,1
14,경기도 고양시 고양동 734 ,고양동,734,125.92,241 ,6,3,2,0.0,2,1
15,경기도 고양시 고양동 734 ,고양동,734,125.92,241 ,6,3,2,0.0,2,1
16,경기도 고양시 고양동 734 ,고양동,734,125.92,241 ,6,4,2,0.0,2,1
17,경기도 고양시 고양동 1121 ,고양동,1121,112.4,557 ,12,3,2,0.0,3,1
18,경기도 고양시 고양동 730 ,고양동,730,59.97,460 ,8,3,2,0.0,4,3
19,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
20,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
21,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
22,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
23,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
24,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
25,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
26,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
27,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
28,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
29,경기도 고양시 고양동 730 ,고양동,730,84.79,460 ,8,3,2,0.0,4,3
30,경기도 고양시 고양동 724 ,고양동,724,84.79,496 ,5,3,2,0.0,3,2
31,경기도 고양시 고양동 724 ,고양동,724,84.79,496 ,5,3,2,0.0,3,2
32,경기도 고양시 고양동 724 ,고양동,724,84.79,496 ,5,3,2,0.0,3,2
33,경기도 고양시 고양동 724 ,고양동,724,84.79,496 ,5,3,2,0.0,3,2
34,경기도 고양시 고양동 724 ,고양동,724,84.79,496 ,5,3,2,0.0,3,2
35,경기도 고양시 고양동 724 ,고양동,724,84.79,496 ,5,3,2,0.0,3,2
36,경기도 고양시 고양동 752 ,고양동,752,84.83,211 ,2,3,2,0.0,2,1
37,경기도 고양시 고양동 752 ,고양동,752,84.83,211 ,2,3,2,0.0,2,1
38,경기도 고양시 대화동 2580 ,대화동,2580,82.65,811 ,10,3,2,1.0,4,7
39,경기도 고양시 대화동 2580 ,대화동,2580,119.01,811 ,10,4,2,1.0,4,7
40,경기도 고양시 대화동 2209 ,대화동,2209,39.67,390 ,3,1,1,2.0,3,3
41,경기도 고양시 대화동 2228 ,대화동,2228,66.12,410 ,6,3,1,2.0,2,3
42,경기도 고양시 대화동 2228 ,대화동,2228,82.65,410 ,6,3,2,2.0,2,3
43,경기도 고양시 대화동 2228 ,대화동,2228,82.65,410 ,6,3,2,2.0,2,3
44,경기도 고양시 대화동 2228 ,대화동,2228,82.65,410 ,6,3,2,2.0,2,3
45,경기도 고양시 대화동 2228 ,대화동,2228,82.65,410 ,6,3,2,2.0,2,3
46,경기도 고양시 대화동 2603번지,대화동,2603번지,82.65,1100 ,6,3,2,0.0,0,0
47,경기도 고양시 도내동 983번지 ,도내동,983번지,82.65,1193 ,18,3,2,0.0,0,0
48,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
49,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
50,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
51,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
52,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
53,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
54,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
55,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
56,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
57,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
58,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
59,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
60,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
61,경기도 고양시 백석동 1237,백석동,1237,59.5,2404 ,6,3,2,1.0,2,3
62,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
63,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
64,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
65,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
66,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
67,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
68,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
69,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
70,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
71,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
72,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
73,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
74,경기도 고양시 백석동 1237,백석동,1237,82.65,2404 ,6,3,2,1.0,2,3
75,경기도 고양시 백석동 1237,백석동,1237,89.26,2404 ,6,3,2,1.0,2,3
76,경기도 고양시 백석동 1237,백석동,1237,102.48,2404 ,6,3,2,1.0,2,3
77,경기도 고양시 백석동 1237,백석동,1237,102.48,2404 ,6,3,2,1.0,2,3
78,경기도 고양시 백석동 1237,백석동,1237,102.48,2404 ,6,3,2,1.0,2,3
79,경기도 고양시 백석동 1237,백석동,1237,102.48,2404 ,6,3,2,1.0,2,3
80,경기도 고양시 백석동 1237,백석동,1237,102.48,2404 ,6,3,2,1.0,2,3
81,경기도 고양시 사리현동 186 ,사리현동,186,82.65,577 ,8,3,2,1.0,4,5
